name,owner,organization,lang,url,created_at,description,stars,pushed_at
phantomjs,ariya,,C++,https://github.com/ariya/phantomjs,2010-12-27 08:18:58,Scriptable Headless WebKit,12339,2014-12-22 03:08:30
ember.js,emberjs,emberjs,JavaScript,https://github.com/emberjs/ember.js,2011-05-25 23:39:40,Ember.js - A JavaScript framework for creating ambitious web applications,12242,2015-01-01 18:02:02
socket.io,Automattic,Automattic,JavaScript,https://github.com/Automattic/socket.io,2010-03-11 18:24:48,"Realtime application framework for Node.JS, with HTML5 WebSockets and cross-browser fallbacks support.",12140,2014-06-01 01:34:54
requests,kennethreitz,,Python,https://github.com/kennethreitz/requests,2011-02-13 18:38:17,Python HTTP Requests for Humans���.,12109,2015-01-01 08:28:12
flask,mitsuhiko,,Python,https://github.com/mitsuhiko/flask,2010-04-06 11:11:59,"A microframework based on Werkzeug, Jinja2 and good intentions",12091,2014-12-30 17:14:59
devise,plataformatec,plataformatec,Ruby,https://github.com/plataformatec/devise,2009-09-16 12:15:12,Flexible authentication solution for Rails with Warden.,11951,2014-12-31 08:52:21
socket.io,LearnBoost,LearnBoost,JavaScript,https://github.com/LearnBoost/socket.io,2010-03-11 18:24:48,"Realtime application framework for Node.JS, with HTML5 WebSockets and cross-browser fallbacks support.",11846,2014-05-24 22:19:49
chosen,,harvesthq,JavaScript,https://github.com//chosen,2011-04-18 15:07:41,"Chosen is a library for making long, unwieldy select boxes more friendly.",11807,2013-04-24 19:28:03
skrollr,Prinzhorn,,JavaScript,https://github.com/Prinzhorn/skrollr,2012-03-18 15:41:35,Stand-alone parallax scrolling library for mobile (Android + iOS) and desktop. No jQuery. Just plain JavaScript (and some love).,11723,2014-11-17 09:27:41
javascript,airbnb,airbnb,,https://github.com/airbnb/javascript,2012-11-01 23:13:50,JavaScript Style Guide,11707,2014-12-16 01:06:48
html5-boilerplate,h5bp,h5bp,JavaScript,https://github.com/h5bp/html5-boilerplate,2010-01-24 18:03:24,Professional front-end template. So much goodness baked in by default,11605,2012-03-23 04:20:26
less.js,less,less,JavaScript,https://github.com/less/less.js,2010-02-20 17:25:38,Leaner CSS,11600,2015-01-01 17:56:50
jQuery-File-Upload,blueimp,,JavaScript,https://github.com/blueimp/jQuery-File-Upload,2010-12-01 15:35:32,"File Upload widget with multiple file selection, drag&drop support, progress bars and preview images for jQuery. Supports cross-domain, chunked and resumable file uploads and client-side image resizing. Works with any server-side platform (PHP, Python, Ruby on Rails, Java, Node.js, Go etc.) that supports standard HTML form file uploads.",11563,2013-06-12 07:43:08
redis,antirez,,C,https://github.com/antirez/redis,2009-03-21 22:32:25,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, HyperLogLogs, Bitmaps.",11534,2014-12-23 13:55:01
bower,bower,bower,JavaScript,https://github.com/bower/bower,2012-09-07 00:15:39,A package manager for the web,11460,2014-12-22 15:57:21
foundation,,zurb,JavaScript,https://github.com//foundation,2011-10-13 23:05:42,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites and apps that work on any kind of device.,11448,2013-05-22 22:30:21
atom,atom,atom,CoffeeScript,https://github.com/atom/atom,2012-01-20 18:18:21,The hackable editor,11330,2014-12-31 04:23:30
papers-we-love,papers-we-love,papers-we-love,,https://github.com/papers-we-love/papers-we-love,2013-12-15 14:31:41,Papers from the computer science community to read and discuss.,11317,2014-12-25 21:55:42
async,caolan,,JavaScript,https://github.com/caolan/async,2010-06-01 21:01:30,Async utilities for node and the browser,11238,2014-12-18 22:52:53
jekyll,,,Ruby,https://github.com//jekyll,2008-10-20 06:29:03,"Jekyll is a blog-aware, static site generator in Ruby",11216,2013-06-05 09:40:11
neovim,neovim,neovim,VimL,https://github.com/neovim/neovim,2014-01-31 13:39:22,vim out of the box,11164,2014-12-30 23:01:16
redis,antirez,,C,https://github.com/antirez/redis,2009-03-21 22:32:25,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes",11159,2014-11-28 10:50:54
jQuery-File-Upload,,,JavaScript,https://github.com//jQuery-File-Upload,2010-12-01 15:35:32,"File Upload widget with multiple file selection, drag&drop support, progress bars and preview images for jQuery. Supports cross-domain, chunked and resumable file uploads and client-side image resizing. Works with any server-side platform (PHP, Python, Ruby on Rails, Java, Node.js, Go etc.) that supports standard HTML form file uploads.",11135,2013-05-16 18:29:54
react,facebook,facebook,JavaScript,https://github.com/facebook/react,2013-05-24 16:15:54,"React is a declarative, efficient, and extremely flexible JavaScript library for building user interfaces.",11117,2014-11-18 10:43:27
todomvc,tastejs,tastejs,JavaScript,https://github.com/tastejs/todomvc,2011-06-03 19:56:33,"Helping you select an MV* framework - Todo apps for Backbone.js, Ember.js, AngularJS, and many more",11070,2014-12-31 14:29:23
normalize.css,necolas,,CSS,https://github.com/necolas/normalize.css,2011-05-04 10:20:25,A collection of HTML element and attribute style normalizations,10983,2014-01-26 18:19:04
normalize.css,necolas,,CSS,https://github.com/necolas/normalize.css,2011-05-04 10:20:25,"A modern, HTML5-ready alternative to CSS resets (as used by Bootstrap, HTML5 Boilerplate, YUI3, TweetDeck, Soundcloud, and many others).",10976,2014-01-24 21:16:50
ionic,driftyco,driftyco,JavaScript,https://github.com/driftyco/ionic,2013-08-20 23:06:02,A full-stack platform of tools and services for developing hybrid mobile apps using web technologies. Best friends with AngularJS.,10811,2014-10-31 18:31:12
ionic,driftyco,driftyco,JavaScript,https://github.com/driftyco/ionic,2013-08-20 23:06:02,Advanced HTML5 Mobile App Framework. A beautiful front-end framework for developing hybrid mobile apps in HTML5. Best friends with AngularJS.,10792,2014-10-31 15:55:58
three.js,,,JavaScript,https://github.com//three.js,2010-03-23 18:58:01,JavaScript 3D library.,10653,2013-03-31 01:35:17
react,facebook,facebook,JavaScript,https://github.com/facebook/react,2013-05-24 16:15:54,"React is a JavaScript library for building user interfaces. It's declarative, efficient, and extremely flexible. What's more, it works with the libraries and frameworks that you already know.",10628,2014-11-04 22:38:09
brackets,,adobe,JavaScript,https://github.com//brackets,2011-12-07 21:14:40,"An open source code editor for the web, written in JavaScript, HTML and CSS.",10620,2013-06-20 18:32:49
Spoon-Knife,octocat,,,https://github.com/octocat/Spoon-Knife,2011-01-27 19:30:43,This repo is for demonstration purposes only. Comments and issues may or may not be responded to.,10614,2014-01-31 00:52:24
gulp,gulpjs,gulpjs,JavaScript,https://github.com/gulpjs/gulp,2013-07-04 05:26:06,The streaming build system,10602,2014-12-30 05:05:41
hhvm,facebook,facebook,C++,https://github.com/facebook/hhvm,2010-01-02 01:17:06,A virtual machine designed for executing programs written in Hack and PHP.,10585,2014-12-31 21:07:27
foundation,zurb,zurb,Ruby,https://github.com/zurb/foundation,2011-10-13 23:05:42,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites and apps that work on any kind of device.,10549,2013-04-02 22:48:54
neovim,neovim,neovim,VimL,https://github.com/neovim/neovim,2014-01-31 13:39:22,vim for the 21st century,10528,2014-11-12 16:48:32
github-cheat-sheet,tiimgreen,,,https://github.com/tiimgreen/github-cheat-sheet,2014-04-12 16:38:42,A list of cool features of Git and GitHub.,10512,2014-08-31 09:53:46
ratchet,twbs,twbs,CSS,https://github.com/twbs/ratchet,2012-08-17 05:41:57,"Build mobile apps with simple HTML, CSS, and JS components.",10479,2014-12-29 02:18:11
coffeescript,jashkenas,,CoffeeScript,https://github.com/jashkenas/coffeescript,2009-12-18 01:39:53,Unfancy JavaScript,10462,2014-12-03 15:20:32
jquery-pjax,defunkt,,JavaScript,https://github.com/defunkt/jquery-pjax,2011-02-26 02:44:18,pushState + ajax = pjax,10450,2014-12-03 05:32:18
gitflow,nvie,,Shell,https://github.com/nvie/gitflow,2010-01-20 23:14:12,Git extensions to provide high-level repository operations for Vincent Driessen's branching model.,10437,2012-09-26 10:25:25
dotfiles,mathiasbynens,,VimL,https://github.com/mathiasbynens/dotfiles,2011-09-05 18:07:54,".files, including ~/.osx ��� sensible hacker defaults for OS X",10351,2014-12-26 16:06:53
Modernizr,Modernizr,Modernizr,JavaScript,https://github.com/Modernizr/Modernizr,2009-09-25 20:13:23,Modernizr is a JavaScript library that detects HTML5 and CSS3 features in the user’s browser.,10301,2013-09-19 07:14:31
Spoon-Knife,,,,https://github.com//Spoon-Knife,2011-01-27 19:30:43,This repo is for demonstration purposes only. Comments and issues may or may not be responded to.,10277,2011-10-31 14:34:52
foundation,,zurb,Ruby,https://github.com//foundation,2011-10-13 23:05:42,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites and apps that work on any kind of device.,10257,2013-03-22 19:27:49
lime,limetext,limetext,Go,https://github.com/limetext/lime,2012-10-03 18:10:02,Open source API-compatible alternative to Sublime Text,10237,2014-12-28 16:34:39
hhvm,facebook,facebook,C++,https://github.com/facebook/hhvm,2010-01-02 01:17:06,HHVM is an open-source virtual machine designed for executing programs written in Hack and PHP.,10228,2014-11-18 08:40:44
gitignore,,github,,https://github.com//gitignore,2010-11-08 20:17:14,A collection of useful .gitignore templates,10192,2013-05-26 05:56:08
pdf.js,mozilla,mozilla,JavaScript,https://github.com/mozilla/pdf.js,2011-04-26 06:32:03,PDF Reader in JavaScript,10180,2014-12-30 16:06:37
angular.js,,angular,JavaScript,https://github.com//angular.js,2010-01-06 00:34:37,,10176,2013-05-29 05:43:31
textmate,textmate,textmate,C++,https://github.com/textmate/textmate,2012-08-08 16:25:52,TextMate is a graphical text editor for OS X 10.7+,10151,2014-12-25 11:50:14
httpie,jakubroztocil,,Python,https://github.com/jakubroztocil/httpie,2012-02-25 12:39:13,"HTPie is a command line HTTP client, a user-friendly cURL replacement.",10148,2014-06-28 17:52:14
Semantic-UI,Semantic-Org,Semantic-Org,JavaScript,https://github.com/Semantic-Org/Semantic-UI,2013-04-08 23:32:04,Semantic empowers designers and developers by creating a shared vocabulary for UI.,10124,2014-11-06 22:22:50
pure,yahoo,yahoo,CSS,https://github.com/yahoo/pure,2013-04-22 16:16:39,"A set of small, responsive CSS modules that you can use in every web project.",10093,2014-12-04 00:05:41
hhvm,facebook,facebook,C++,https://github.com/facebook/hhvm,2010-01-02 01:17:06,HHVM is an open-source virtual machine designed for executing programs written in Hack and PHP. HHVM uses a just-in-time (JIT) compilation approach to achieve superior performance while maintaining the flexibility that PHP developers are accustomed to.,10073,2014-10-30 03:40:10
